 ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
 1,0.000,0.000,0.000,0.000,__init__.py:313(set_level)
 1,0.000,0.000,0.000,0.000,__init__.py:315(Bunch)
 1,0.000,0.000,0.000,0.000,__init__.py:32(ParserError)
 1,0.000,0.000,0.028,0.028,__init__.py:33(open_workbook)
 2,0.000,0.000,0.000,0.000,__init__.py:332(__init__)
 2,0.000,0.000,0.000,0.000,__init__.py:342(_FuncPtr)
 1,0.000,0.000,0.000,0.000,__init__.py:346(_CountryNameDict)
 3,0.000,0.000,0.000,0.000,__init__.py:35(__deprecate_private_class)
 34,0.001,0.000,0.024,0.001,__init__.py:357(namedtuple)
 1,0.000,0.000,0.000,0.000,__init__.py:358(__getattr__)
 1,0.000,0.000,0.000,0.000,__init__.py:365(__getitem__)
 1,0.000,0.000,0.000,0.000,__init__.py:371(PyDLL)
 1,0.000,0.000,0.000,0.000,__init__.py:371(_FixedOffset)
 1,0.000,0.000,0.000,0.000,__init__.py:378(PercentStyle)
 1,0.000,0.000,0.000,0.000,__init__.py:38(DtypeWarning)
 1,0.000,0.000,0.000,0.000,__init__.py:384(__init__)
 8,0.000,0.000,0.000,0.000,__init__.py:390(_logged_cached)
 1,0.000,0.000,0.000,0.000,__init__.py:393(StrFormatStyle)
 3,0.000,0.000,0.095,0.032,__init__.py:4(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:402(StringTemplateStyle)
 3,0.000,0.000,0.000,0.000,__init__.py:403(add_metaclass)
 3,0.000,0.000,0.000,0.000,__init__.py:405(wrapper)
 4/2,0.000,0.000,0.000,0.000,__init__.py:409(wrapper)
 1,0.000,0.000,0.006,0.006,__init__.py:41(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:411(LibraryLoader)
 2,0.000,0.000,0.000,0.000,__init__.py:412(__init__)
 3,0.000,0.000,0.000,0.000,__init__.py:42(private_class)
 169,0.000,0.000,0.000,0.000,__init__.py:420(<genexpr>)
 169,0.000,0.000,0.000,0.000,__init__.py:422(<genexpr>)
 1,0.000,0.000,0.000,0.000,__init__.py:426(Formatter)
 1,0.000,0.000,0.000,0.000,__init__.py:43(normalize_encoding)
 2,0.000,0.000,0.030,0.015,__init__.py:45(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:471(__init__)
 3,0.000,0.000,0.000,0.000,__init__.py:476(PYFUNCTYPE)
 3,0.000,0.000,0.000,0.000,__init__.py:477(CFunctionType)
 1,0.000,0.000,0.000,0.000,__init__.py:491(checkdep_ps_distiller)
 4,0.000,0.000,0.607,0.152,__init__.py:5(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:5(HTTPStatus)
 1,0.000,0.000,0.000,0.000,__init__.py:505(GetRealpathAndStat)
 1,0.000,0.000,0.014,0.014,__init__.py:52(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:525(checkdep_usetex)
 1,0.000,0.000,0.000,0.000,__init__.py:555(get_home)
 1,0.000,0.000,0.000,0.000,__init__.py:578(_get_xdg_config_dir)
 1,0.000,0.000,0.000,0.000,__init__.py:601(BufferingFormatter)
 1,0.000,0.000,0.000,0.000,__init__.py:602(_get_config_or_cache_dir)
 1,0.000,0.000,0.000,0.000,__init__.py:609(maxdict)
 1,0.000,0.000,0.000,0.000,__init__.py:625(get_configdir)
 1,0.000,0.000,0.000,0.000,__init__.py:629(Stack)
 1,0.000,0.000,0.000,0.000,__init__.py:643(Filter)
 1,0.000,0.000,0.000,0.000,__init__.py:656(_get_data_path)
 2,0.000,0.000,0.000,0.000,__init__.py:666(get_candidate_paths)
 1,0.000,0.000,0.000,0.000,__init__.py:680(Filterer)
 6,0.000,0.000,0.000,0.000,__init__.py:685(__init__)
 1,0.000,0.000,0.000,0.000,__init__.py:687(get_data_path)
 3,0.000,0.000,0.067,0.022,__init__.py:7(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:70(_StrongRef)
 1,0.000,0.000,0.001,0.001,__init__.py:703(matplotlib_fname)
 1,0.000,0.000,0.000,0.000,__init__.py:71(search_function)
 3,0.000,0.000,0.000,0.000,__init__.py:73(CFUNCTYPE)
 4,0.000,0.000,0.000,0.000,__init__.py:734(gen_candidates)
 1,0.000,0.000,0.000,0.000,__init__.py:752(_addHandlerRef)
 1,0.000,0.000,0.000,0.000,__init__.py:762(Handler)
 1,0.000,0.000,0.000,0.000,__init__.py:771(__init__)
 1,0.000,0.000,0.029,0.029,__init__.py:78(__go)
 592,0.002,0.000,0.014,0.000,__init__.py:78(open_resource)
 1,0.000,0.000,0.000,0.000,__init__.py:783(RcParams)
 1,0.000,0.000,0.000,0.000,__init__.py:792(<dictcomp>)
 5,0.000,0.000,0.174,0.035,__init__.py:8(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:800(createLock)
 4,0.000,0.000,0.008,0.002,__init__.py:826(__init__)
 899,0.001,0.000,0.006,0.000,__init__.py:829(__setitem__)
 69,0.000,0.000,0.000,0.000,__init__.py:85(<genexpr>)
 1,0.000,0.000,0.000,0.000,__init__.py:867(Grouper)
 9,0.000,0.000,0.000,0.000,__init__.py:870(__getitem__)
 1,0.000,0.000,0.002,0.002,__init__.py:88(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:88(CallbackRegistry)
 4,0.000,0.000,0.015,0.004,__init__.py:9(<module>)
 1,0.000,0.000,0.000,0.000,__init__.py:9(ExtType)
 301,0.000,0.000,0.000,0.000,__init__.py:907(__iter__)
 1,0.000,0.000,0.000,0.000,__init__.py:932(copy)
 1,0.000,0.000,0.000,0.000,__init__.py:933(<dictcomp>)
 1,0.000,0.000,0.006,0.006,__init__.py:936(rc_params)
 1,0.000,0.000,0.000,0.000,__init__.py:951(StreamHandler)
 1,0.000,0.000,0.000,0.000,__init__.py:956(is_url)
 1,0.000,0.000,0.000,0.000,__init__.py:96(EmptyDataError)
 2,0.000,0.000,0.000,0.000,__init__.py:961(_open_file_or_url)
 1,0.000,0.000,0.004,0.004,__init__.py:97(<module>)
 1,0.000,0.000,0.001,0.001,__init__.py:978(_rc_params_in_file)
 3,0.000,0.000,0.000,0.000,__init__.py:99(CFunctionType)
 1,0.000,0.000,0.000,0.000,_bootlocale.py:23(getpreferredencoding)
 1,0.000,0.000,0.000,0.000,_collections.py:1028(ThreadLocalRegistry)
 1,0.000,0.000,0.000,0.000,_collections.py:109(_LW)
 1,0.000,0.000,0.000,0.000,_collections.py:129(ImmutableContainer)
 1,0.000,0.000,0.000,0.000,_collections.py:136(immutabledict)
 16,0.000,0.000,0.000,0.000,_collections.py:140(__new__)
 16,0.000,0.000,0.000,0.000,_collections.py:145(__init__)
 4,0.000,0.000,0.000,0.000,_collections.py:151(union)
 1,0.000,0.000,0.000,0.000,_collections.py:168(Properties)
 1,0.000,0.000,0.000,0.000,_collections.py:242(OrderedProperties)
 1,0.000,0.000,0.000,0.000,_collections.py:252(ImmutableProperties)
 1,0.000,0.000,0.000,0.000,_collections.py:258(OrderedDict)
 1,0.000,0.000,0.000,0.000,_collections.py:27(AbstractKeyedTuple)
 1,0.000,0.000,0.000,0.000,_collections.py:355(OrderedSet)
 1,0.000,0.000,0.000,0.000,_collections.py:42(KeyedTuple)
 1,0.000,0.000,0.000,0.000,_collections.py:462(IdentitySet)
 1,0.000,0.000,0.000,0.000,_collections.py:672(WeakSequence)
 1,0.000,0.000,0.000,0.000,_collections.py:701(OrderedIdentitySet)
 1,0.000,0.000,0.000,0.000,_collections.py:702(_working_set)
 1,0.000,0.000,0.000,0.000,_collections.py:717(PopulateDict)
 3,0.000,0.000,0.000,0.000,_collections.py:725(__init__)
 1,0.000,0.000,0.000,0.000,_collections.py:763(UniqueAppender)
 1,0.000,0.000,0.008,0.008,_collections.py:8(<module>)
 1,0.000,0.000,0.000,0.000,_collections.py:862(LRUCache)
 1,0.000,0.000,0.000,0.000,_collections.py:874(__init__)
 1,0.000,0.000,0.000,0.000,_collections.py:972(ScopedRegistry)
 20,0.000,0.000,0.000,0.000,_collections_abc.py:252(__subclasshook__)
 2,0.000,0.000,0.000,0.000,_collections_abc.py:268(__iter__)
 20,0.000,0.000,0.000,0.000,_collections_abc.py:271(__subclasshook__)
 95,0.000,0.000,0.000,0.000,_collections_abc.py:302(__subclasshook__)
 16,0.000,0.000,0.000,0.000,_collections_abc.py:349(__subclasshook__)
 29,0.000,0.000,0.000,0.000,_collections_abc.py:367(__subclasshook__)
 294,0.000,0.000,0.000,0.000,_collections_abc.py:392(__subclasshook__)
 601,0.000,0.000,0.003,0.000,_collections_abc.py:657(get)
 6,0.000,0.000,0.000,0.000,_collections_abc.py:664(__contains__)
